Designator,Description,MFR PN,Quantity,Value,Comment
,,,,,,
U44,IC DAC 16BIT V-OUT 16WQFN,DAC80508ZRTER,1,DAC80508ZRTER,DAC80508ZRTER
"U23, U24",EEPROM Memory IC 2Mbit I2C 1 MHz 450 ns 8-SO,M24M02E-FMN6TP,2,M24M02E-FMN6TP,M24M02E-FMN6TP
U22,IC OSC SILICON PROG TSOT23-5,LTC1799HS5#TRPBF,1,LTC1799HS5#TRPBF,LTC1799HS5#TRPBF
U21,ARM Cortex-M7 STM32H7 Microcontroller IC 32-Bit 550MHz 1MB (1M x 8) FLASH 176-LQFP (24x24),STM32H735IGT6,1,STM32H735IGT6,STM32H735IGT6
U20,"Optical Sensor Through-Beam 0.079"" (2mm) Phototransistor Module, Connector, Slot Type",EE-SX1320,1,EE-SX1320,EE-SX1320
U19,IC USB SERIAL FULL UART 20QFN,FT231XQ-T,1,FT231XQ-T,FT231XQ-T
U16,"LMR33630 SIMPLE SWITCHER 3.8-V to 36-V, 3-A Synchronous Step-down Voltage Converter",LMR33630ADDAR,1,LMR33630ADDAR,LMR33630ADDAR
"U13, U15, U17, U18",IC CURR SENSE 1 CIRCUIT SOT23-6,INA181A3IDBVT,4,INA181A3IDBVT,INA181A3IDBVT
"U12, U14",IC CURR SENSE 1 CIRCUIT SOT23-6,INA181A1IDBVR,2,INA181A1IDBVR,INA181A1IDBVR
"U11, U45",16 Bit Analog to Digital Converter 8 Input 1 SAR 16-WQFN (3x3),ADS7066IRTER,2,ADS7066IRTER,ADS7066IRTER
"U10, U46",0.2% ACCURACY 15PPM 4V REF,NSREF3140-DSTR,2,NSREF3140-DSTR,NSREF3140-DSTR
"U8, U9",IC HALF BRIDG DRV 600MA 32VFQFPN,L2293Q,2,L2293Q,L2293Q
U7,IC MOTOR DRIVER 5.5V-45V 32VQFN,DRV8702DQRHBRQ1,1,DRV8702DQRHBRQ1,DRV8702DQRHBRQ1
"U5, U6, U33",Power Switch/Driver 1:1 N-Channel 43A HPAK,VN5T016AHTR-E,3,VN5T016AHTR-E,VN5T016AHTR-E
U4,IC REG LINEAR 3.3V 1A SOT-223-3,MCP1826S-3302E/DB,1,MCP1826S-3302E/DB,MCP1826S-3302E/DB
U3,Automotive 4-bit bidirectional voltage-level translator with auto direction sensing and +/-15kV ESD 14-TSSOP -40 to 125,TXB0104QPWRQ1,1,TXB0104QPWRQ1,TXB0104QPWRQ1
U2,Quadruple Differential Line Receiver 16-TSSOP -40 to 85,AM26C32IPWR,1,AM26C32IPWR,AM26C32IPWR
U1,"45-V, 2.5-A bipolar stepper motor driver with current regulation and 1/32 microstepping 28-HTSSOP -40 to 85",DRV8825PWP,1,DRV8825PWP,DRV8825PWP
"TP10, TP11",PC TEST POINT MULTIPURPOSE BLACK,5011,2,5011,5011
"TP8, TP9, TP12",PC TEST POINT MULTIPURPOSE WHITE,5012,3,5012,5012
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",PC TEST POINT MULTIPURPOSE RED,5010,7,5010,5010
R196,RES SMD 8.25K OHM 0.1% 1/8W 0805,ERA-6AEB8251V,1,8.25K,ERA-6AEB8251V
R171,RES 470 OHM 1% 1/8W 0805,RC0805FR-07470RL,1,470,RC0805FR-07470RL
"R154, R156",RES 27 OHM 1% 1/8W 0805,RMCF0805FT27R0,2,27,RMCF0805FT27R0
"R112, R118",RES SMD 100K OHM 0.1% 1/8W 0805,RG2012P-104-B-T5,2,100K,RG2012P-104-B-T5
R84,RES 0.015 OHM 1% 3W 2512,CRA2512-FZ-R015ELF,1,0.015,CRA2512-FZ-R015ELF
"R55, R63, R67, R169",RES 22K OHM 1% 1/8W 0805,RC0805FR-1322KL,4,22K,RC0805FR-1322KL
"R54, R62, R66",RES SMD 1K OHM 1% 1/4W 0805,CRCW08051K00FKEA,3,1K,CRCW08051K00FKEA
R47,RES 24.9K OHM 1% 1/8W 0805,RMCF0805FT24K9,1,24.9K,RMCF0805FT24K9
R46,RES 330 OHM 1% 1/8W 0805,RMCF0805FT330R,1,330,RMCF0805FT330R
"R44, R48, R56, R58",RES 0.04 OHM 0.5% 1/2W 0805,WSLP0805R0400DEA,4,0.04,WSLP0805R0400DEA
"R43, R45",RES 100K OHM 1% 1/8W 0805,RC0805FR-07100KL,2,100K,RC0805FR-07100KL
"R23, R35, R49, R151, R152",RES SMD 100 OHM 1% 1/4W 0805,CRCW0805100RFKEA,5,100,CRCW0805100RFKEA
"R19, R193, R194",RES 4.99K OHM 1% 1/8W 0805,RMCF0805FT4K99,3,4.99K,RMCF0805FT4K99
R15,RES 49.9K OHM 1% 1/8W 0805,RMCF0805FT49K9,1,49.9K,RMCF0805FT49K9
"R13, R14",RES 0.2 OHM 1% 1/2W 0805,ERJ-6DSFR20V,2,0.2,ERJ-6DSFR20V
R12,RES SMD 1M OHM 1% 1/4W 0805,CRCW08051M00FKEA,1,1M,CRCW08051M00FKEA
"R8, R9, R10, R16, R177",RES 0 OHM JUMPER 1/8W 0805,RC0805JR-070RL,5,0,DNI
"R7, R11, R52, R53, R60, R61, R64, R65, R75, R83, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R168, R178, R184, R205",RES SMD 10K OHM 1% 1/4W 0805,CRCW080510K0FKEA,24,10K,CRCW080510K0FKEA
"R6, R50",RES 0.02 OHM 0.5% 1/2W 0805,ERJ-6CWDR020V,2,0.02,ERJ-6CWDR020V
"R1, R2, R3, R4, R5, R17, R18, R20, R21, R22, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R36, R37, R38, R39, R40, R41, R42, R51, R57, R59, R68, R69, R70, R71, R72, R73, R74, R76, R77, R78, R79, R80, R81, R82, R85, R86, R87, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R113, R114, R115, R116, R117, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R153, R155, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R170, R172, R173, R174, R175, R176, R179, R180, R181, R182, R183, R185, R186, R187, R188, R189, R190, R191, R192, R195, R197, R198, R199, R200, R201, R202, R203, R204, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226",RES 0 OHM JUMPER 1/8W 0805,RC0805JR-070RL,161,0,RC0805JR-070RL
"Q1, Q2, Q3, Q4",N-Channel 40 V 190A (Tc) 183W (Tc) Surface Mount LFPAK88 (SOT1235),BUK7S2R0-40HJ,4,BUK7S2R0-40HJ,BUK7S2R0-40HJ
L4,"Inductor with Inductance: 2.2uH Tol. +/-20%, Package: 0806 (2016)",LQM2MPN2R2MG0L,1,2.2uH,LQM2MPN2R2MG0L
"L2, L3",FIXED IND 15UH 12.5A 20.5MOHM SM,SRP1770TA-150M,2,15uH,SRP1770TA-150M
L1,FIXED IND 8.2UH 6.25A 20 MOHM,744771008,1,8.2uH,744771008
J16,CONN HEADER VERT 10POS 1.27MM,SHF-105-01-L-D-TH,1,SHF-105-01-L-D-TH,SHF-105-01-L-D-TH
"J15, J17",M20: 2 Pos Plug SIL Straight 3mm THT Connector 7mm pin Gold,M20-9730245,2,M20-9730245,DNI
J14,"Nano-Fit Vertical Header, Through Hole, 2.50mm Pitch, Single Row, 6 Circuits, with Kinked Pins, 0.76um Gold (Au) Plating, Black, Glow-Wire Capable, Tray",1053091306,1,1053091306,1053091306
J13,Connector Header Surface Mount 2 position 0.049 (1.25mm),DF13-2P-1.25V(75),1,DF13-2P-1.25V(75),DF13-2P-1.25V(75)
J6,"Ultra-Fit Vertical Header, 3.50mm Pitch, Single Row, 3 Circuits, with Kinked Pins, Tin (Sn), Glow-Wire Capable, Black",1722861103,1,1722861103,1722861103
J5,"Nano-Fit Vertical Header, Through Hole, 2.50mm Pitch, Single Row, 3 Circuits, with Kinked Pins, Tin (Sn) Plating, Black, Glow-Wire Capable, Tray",1053091103,1,1053091103,1053091103
J4,"Nano-Fit Vertical Header, Through Hole, 2.50mm Pitch, Single Row, 2 Circuits, with Kinked Pins, Tin (Sn) Plating, Black, Glow-Wire Capable, Tray",1053091102,1,1053091102,1053091102
J3,"Nano-Fit Vertical Header, Through Hole, 2.50mm Pitch, Single Row, 4 Circuits, with Kinked Pins, Tin (Sn) Plating, Black, Glow-Wire Capable, Tray",1053091104,1,1053091104,1053091104
"J2, J7, J8, J9, J10, J11, J12","Ultra-Fit Vertical Header, 3.50mm Pitch, Single Row, 2 Circuits, with Kinked Pins, Tin (Sn), Glow-Wire Capable, Black",1722861102,7,1722861102,1722861102
J1,"Nano-Fit Vertical Header, Through Hole, 2.50mm Pitch, Single Row, 5 Circuits, with Kinked Pins, Tin (Sn) Plating, Black, Glow-Wire Capable, Tray",1053091105,1,1053091105,1053091105
"FID1, FID2, FID3, FID4, FID5, FID6",40mil Fudicial,,6,,FIDUCIAL
"D10, D11",LED GREEN,LSM0805463V,2,LSM0805463V,LSM0805452V
"D6, D7, D8, D9",DIODE SCHOTTKY 100V 2A SMB,B2100Q-13-F,4,B2100Q-13-F,B2100Q-13-F
"D1, D2, D3, D4, D5",LED BLUE,LSM0805463V,5,LSM0805463V,LSM0805463V
"C98, C99",CAP CER 47PF 50V C0G/NP0 0805,C0805X470J5GACTU,2,47pF,C0805X470J5GACTU
